A2_EDAD_1,A3_SEXO_1,ZONA,COD_REGION,POND_USO,grupo_etario,zona_desc,sexo_desc
37.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
64.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
16.0,2.0,1.0,13.0,5.74333,0-17,Urbana,Mujer
47.0,1.0,1.0,13.0,6.4097,45-59,Urbana,Hombre
58.0,1.0,1.0,13.0,4.73395,45-59,Urbana,Hombre
38.0,2.0,1.0,13.0,5.74333,30-44,Urbana,Mujer
36.0,1.0,1.0,13.0,6.4097,30-44,Urbana,Hombre
67.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
75.0,2.0,1.0,13.0,3.04984,60+,Urbana,Mujer
25.0,2.0,1.0,13.0,4.46594,18-29,Urbana,Mujer
78.0,2.0,1.0,13.0,4.73395,60+,Urbana,Mujer
53.0,1.0,1.0,13.0,6.4097,45-59,Urbana,Hombre
57.0,2.0,1.0,13.0,3.04984,45-59,Urbana,Mujer
40.0,2.0,2.0,13.0,0.77527,30-44,Rural,Mujer
51.0,2.0,2.0,13.0,0.35912,45-59,Rural,Mujer
81.0,1.0,2.0,13.0,0.41169,60+,Rural,Hombre
40.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
19.0,2.0,1.0,13.0,5.74333,18-29,Urbana,Mujer
43.0,2.0,1.0,13.0,4.12944,30-44,Urbana,Mujer
33.0,2.0,1.0,13.0,4.46594,30-44,Urbana,Mujer
33.0,1.0,1.0,13.0,6.93201,30-44,Urbana,Hombre
45.0,2.0,1.0,13.0,4.12944,45-59,Urbana,Mujer
34.0,2.0,1.0,13.0,4.46594,30-44,Urbana,Mujer
24.0,2.0,1.0,13.0,5.74333,18-29,Urbana,Mujer
73.0,2.0,1.0,6.0,0.4819,60+,Urbana,Mujer
68.0,1.0,1.0,13.0,4.73395,60+,Urbana,Hombre
50.0,1.0,1.0,13.0,4.12944,45-59,Urbana,Hombre
60.0,2.0,1.0,13.0,4.46594,60+,Urbana,Mujer
29.0,1.0,1.0,13.0,6.93201,18-29,Urbana,Hombre
27.0,2.0,2.0,11.0,0.2616,18-29,Rural,Mujer
57.0,2.0,1.0,13.0,4.46594,45-59,Urbana,Mujer
50.0,1.0,1.0,13.0,4.46594,45-59,Urbana,Hombre
76.0,2.0,2.0,11.0,0.17865,60+,Rural,Mujer
39.0,2.0,2.0,11.0,0.24189,30-44,Rural,Mujer
47.0,1.0,1.0,5.0,0.90324,45-59,Urbana,Hombre
